model,feature_type,n_matched_pairs,n_shuffled_pairs,matched_distance_mean,shuffled_distance_mean,distance_gap_shuffled_minus_matched,shuffled_over_matched_distance_ratio,prob_matched_distance_less_than_shuffled,matched_similarity_mean,shuffled_similarity_mean,similarity_gap_matched_minus_shuffled
ours_epoch300,x4_prefusion,600,60000,0.5938465595245361,0.6821514368057251,0.08830487728118896,1.1486998796463013,0.999825,0.40615347027778625,0.3178485333919525,0.08830493688583374
ours_epoch300,fusion_x4_singlemodal,600,60000,0.35728225111961365,0.5880848169326782,0.23080256581306458,1.645995020866394,0.99965,0.6427177786827087,0.4119151830673218,0.23080259561538696
paper_model_last,x4_prefusion,600,60000,0.5975439548492432,0.627511203289032,0.02996724843978882,1.050150752067566,0.9624,0.4024561047554016,0.37248873710632324,0.02996736764907837
paper_model_last,fusion_x4_singlemodal,600,60000,0.3526027500629425,0.588403046131134,0.23580029606819153,1.668742060661316,0.999935,0.6473972797393799,0.41159701347351074,0.23580026626586914
